date,compound_score,positive_score,neutral_score,negative_score
2020-08-10,0.1357,0.102,0.8518,0.0462
2020-08-11,-0.008,0.0504,0.8778,0.0718
2020-08-12,-0.0209,0,0.988,0.012
2020-08-13,-0.16594,0.0472,0.8546,0.0982
2020-08-14,-0.35372,0.0564,0.7238,0.2198
2020-08-15,0.11206,0.1318,0.7898,0.0784
2020-08-16,-0.0251,0.0256,0.9306,0.0438
2020-08-17,-0.12474,0.1656,0.6958,0.1386
2020-08-18,0.15874,0.1802,0.7438,0.076
2020-08-19,0.1034,0.0768,0.8242,0.099
2020-08-20,-0.0912,0.0872,0.7898,0.1232
2020-08-21,0.05668,0.0912,0.7934,0.1152
2020-08-22,0.3277,0.1576,0.8212,0.0214
2020-08-23,-0.08876,0.0766,0.8476,0.0758
2020-08-24,-0.20084,0.0482,0.8362,0.1156
2020-08-25,0.1354,0.1006,0.8674,0.032
2020-08-26,-0.07008,0.0624,0.8718,0.0658
2020-08-27,0.02754,0.0312,0.9486,0.0202
2020-08-28,0.09864,0.1952,0.7306,0.074
2020-08-29,0.17924,0.0852,0.8756,0.0392
2020-08-30,0.22972,0.1358,0.8282,0.036
2020-08-31,-0.05932,0.038,0.9202,0.0418
2020-09-01,0.10438,0.1136,0.8152,0.0712
2020-09-02,0.23004,0.178,0.7826,0.0394
2020-09-03,0.02896,0.0682,0.7952,0.1368
2020-09-04,0.12972,0.0692,0.9308,0
2020-09-05,0.04566,0.0632,0.9368,0
2020-09-06,0.19058,0.0882,0.894,0.0176
2020-09-07,0.12246,0.1188,0.7796,0.1016
2020-09-08,0.09176,0.0462,0.9538,0
2020-09-09,0.26154,0.19,0.81,0
2020-09-10,0.32044,0.184,0.791,0.025
2020-09-11,0,0,1,0
2020-09-12,0.19114,0.116,0.884,0
2020-09-13,0.03558,0.0232,0.9768,0
2020-09-14,0.10602,0.0966,0.8736,0.0298
2020-09-15,0.12284,0.1382,0.7,0.1618
2020-09-16,-0.12972,0.0278,0.9048,0.0674
2020-09-17,0.22588,0.2488,0.6632,0.088
2020-09-18,-0.1202,0.1094,0.7948,0.0958
2020-09-19,0.14028,0.18,0.7462,0.0736
2020-09-20,0.14906,0.093,0.8824,0.0246
2020-09-21,-0.00726,0.039,0.9156,0.0454
2020-09-22,0.11954,0.1558,0.7434,0.1008
2020-09-23,-0.01286,0.1144,0.7908,0.0948
2020-09-24,0.29662,0.142,0.858,0
2020-09-25,-0.01602,0.0606,0.8506,0.0888
2020-09-26,0.29498,0.1956,0.7512,0.0532
2020-09-27,0.06068,0.0622,0.8678,0.07
2020-09-28,0.3133,0.171,0.808,0.0212
2020-09-29,0.3237,0.211,0.749,0.04
2020-09-30,0.12604,0.1212,0.8304,0.0484
2020-10-01,0.10156,0.1806,0.6874,0.1322
2020-10-02,0.06036,0.0932,0.8364,0.0706
2020-10-03,0.30616,0.1668,0.8076,0.0256
2020-10-04,0.06912,0.1584,0.7408,0.1008
2020-10-05,0.1862,0.211,0.7322,0.0568
2020-10-06,0.23278,0.105,0.895,0
2020-10-07,-0.19906,0.025,0.8726,0.1024
2020-10-08,0.37462,0.2208,0.7254,0.0538
2020-10-09,-0.14888,0.0238,0.8836,0.0926
2020-10-10,-0.09088,0.0548,0.8616,0.0836
2020-10-11,0.05168,0.0606,0.891,0.0482
2020-10-12,0.01838,0.1062,0.8106,0.0832
2020-10-13,0.05302,0.1192,0.7954,0.0854
2020-10-14,0.32672,0.2288,0.7712,0
2020-10-15,0.11438,0.054,0.946,0
2020-10-16,0.41542,0.1636,0.8364,0
2020-10-17,0.06364,0.0346,0.9654,0
2020-10-18,-0.12792,0.0766,0.799,0.1244
2020-10-19,-0.02036,0.0898,0.8062,0.104
2020-10-20,-0.05172,0.0838,0.8008,0.1152
2020-10-21,-0.10134,0.031,0.8376,0.1314
2020-10-22,0.10194,0.0942,0.8302,0.0756
2020-10-23,0.0763,0.1112,0.761,0.1278
2020-10-24,-0.07224,0,0.963,0.037
2020-10-25,-0.04822,0.1154,0.75,0.1346
2020-10-26,0.13192,0.0938,0.8756,0.0306
2020-10-27,0.15262,0.0972,0.9028,0
2020-10-28,0.41396,0.211,0.789,0
2020-10-29,0.14368,0.0444,0.9556,0
2020-10-30,-0.02118,0.0612,0.9082,0.0306
2020-10-31,0.06198,0.0458,0.8954,0.0588
2020-11-01,-0.23272,0,0.9052,0.0948
2020-11-02,-0.0814,0.0666,0.8042,0.1292
2020-11-03,-0.06074,0.0396,0.8808,0.0796
2020-11-04,0.33254,0.146,0.854,0
2020-11-05,-0.03838,0.1086,0.7744,0.117
2020-11-06,0.41804,0.2658,0.6906,0.0436
2020-11-07,-0.16244,0.056,0.8078,0.1362
2020-11-08,0.153,0.1226,0.8378,0.0396
2020-11-09,0.13334,0.0744,0.897,0.0288
2020-11-10,0.12564,0.1038,0.8476,0.0486
2020-11-11,0.15158,0.0788,0.9212,0
2020-11-12,0.03018,0.1592,0.6512,0.1898
2020-11-13,0.09266,0.0976,0.8464,0.0558
2020-11-14,0.09582,0.0782,0.9218,0
2020-11-15,0.01898,0.0386,0.9232,0.0382
2020-11-16,0.11518,0.061,0.8968,0.0422
2020-11-17,0.03842,0.065,0.9076,0.0274
2020-11-18,0.0088,0.0462,0.9204,0.0334
2020-11-19,0.31184,0.2498,0.6768,0.0732
2020-11-20,0.17194,0.113,0.887,0
2020-11-21,0.13556,0.0706,0.9294,0
2020-11-22,0.3639,0.1868,0.795,0.0182
2020-11-23,0,0,1,0
2020-11-24,0.33388,0.186,0.814,0
2020-11-25,0.02504,0.0946,0.827,0.0784
2020-11-26,0.51594,0.3702,0.5946,0.0352
2020-11-27,0.15484,0.1378,0.8416,0.0206
2020-11-28,0.2726,0.1972,0.7862,0.0168
2020-11-29,0.04772,0.0658,0.8984,0.0358
2020-11-30,-0.00828,0.0504,0.8894,0.0602
2020-12-01,-0.09534,0,0.9234,0.0766
2020-12-02,0.09794,0.1142,0.7994,0.0864
2020-12-03,0.09534,0.0474,0.9526,0
2020-12-04,0.05974,0.0342,0.928,0.0378
2020-12-05,0.03008,0.0376,0.9218,0.0406
2020-12-06,-0.15414,0,0.9,0.1
2020-12-07,0.0292,0.1166,0.8266,0.0566
2020-12-08,0.13944,0.1062,0.8652,0.0286
2020-12-09,0.02354,0.1532,0.6964,0.1504
2020-12-10,-0.03292,0.0632,0.8338,0.103
2020-12-11,-0.07584,0.0716,0.8672,0.0614
2020-12-12,0,0,1,0
2020-12-13,0.0721,0.066,0.934,0
